date,max_temp,min_temp
2026-08-17,25.4,13.2
2026-08-18,26.4,13.4
2026-08-19,30.8,11.6
2026-08-20,31.2,13.0
2026-08-21,29.3,11.3
2026-08-22,31.6,13.1
2026-08-23,30.4,12.9
